"","pool","prevalence","tau","ppa_null","ppa_pct_increase","tests.per.sample_null","test_pct_decrease","ppa_diff","test_diff"
"1",4,0.001,0.1,0.897176875074201,2.68311857897403,0.254655050708119,-0.383097738888729,0.0240723194213746,-0.00097557774122875
"2",4,0.001,0.2,0.896111916574593,4.94923199702957,0.255718798682589,-0.767478734500683,0.0443506577043047,-0.00196258740000949
"3",4,0.001,0.3,0.899947914910565,6.68586515746588,0.256815949221509,-1.16084581911513,0.0601693040783462,-0.00298123720935872
"4",4,0.001,0.4,0.898795274909605,7.92303262334938,0.257877337463866,-1.55233693501425,0.0712118428482108,-0.00400312515648293
"5",4,0.001,0.5,0.896438531927402,9.42361901088023,0.258922820364928,-1.93302389983395,0.0844769519155664,-0.00500503999977819
"6",4,0.1,0.1,0.912474128180641,1.83449155386888,0.63181830729243,-9.8543872659262,0.0167392608127126,-0.0622618228176157
"7",4,0.1,0.2,0.918035700112166,3.63109869156664,0.695382594052956,-16.9987408606562,0.0333347822948875,-0.118206285153171
"8",4,0.1,0.3,0.921008302936555,4.37885712923373,0.751737718012743,-22.7650676712816,0.0403296377339719,-0.171133600216149
"9",4,0.1,0.4,0.924775272498324,5.29684755046283,0.803016656300201,-27.1651730582923,0.0489839363686134,-0.218140864370862
"10",4,0.1,0.5,0.930929785441219,5.74637443135184,0.850887012603655,-30.8317584279749,0.0534947111644327,-0.262343428220971
"11",18,0.001,0.1,0.824580934038743,14.9984688461208,0.0946802370052426,-23.4477608832396,0.123674514502853,-0.0222003955766738
"12",18,0.001,0.2,0.833764716995297,18.7337039125235,0.119054109189358,-38.4950488908004,0.156195013408989,-0.0458299375389501
"13",18,0.001,0.3,0.832541037277204,19.6209898006515,0.142145725979882,-48.4120385387641,0.163352792010398,-0.0688156436425862
"14",18,0.001,0.4,0.837193523213915,19.3897769434064,0.165243431372601,-55.583793525876,0.162329956735824,-0.0918485677092189
"15",18,0.001,0.5,0.826539798351271,20.9720239470745,0.185502708371788,-60.4311647369053,0.17334212444233,-0.112101447287576
"16",18,0.1,0.1,0.987202672031071,-0.128021982837143,1.03591688972159,-13.7469163730386,-0.00126383643535544,-0.14240662852421
"17",18,0.1,0.2,0.998057731086735,-0.233746982283374,1.05330375860426,-14.3810701759651,-0.00233292982786115,-0.151476352690956
"18",18,0.1,0.3,0.999665040232792,-0.026444463186479,1.05520715668296,-14.2394407774815,-0.000264356053552461,-0.150255598155615
"19",18,0.1,0.4,0.999904364048891,-0.0141707328145171,1.05545935555011,-14.2307841898275,-0.000141693775830065,-0.15020014309968
"20",18,0.1,0.5,0.999857019378771,-0.00145719954865393,1.05541255204008,-14.2205561734885,-1.4569911973572e-05,-0.150085534824909
